componentNo,rtcTime,modelNo,modelNumber,shaftId,operator,partsProcessed,good,scrap,rework,activeAlarms,common.cycleTime.min,common.cycleTime.max,common.cycleTime.actual,common.cycleTime.pass,common.cycleTime.label,station7.plugLeftForce.label,station7.plugLeftForce.register,station7.plugLeftForce.min,station7.plugLeftForce.max,station7.plugLeftForce.actual,station7.plugLeftForce.pass,station7.plugLeftDepth.label,station7.plugLeftDepth.register,station7.plugLeftDepth.min,station7.plugLeftDepth.max,station7.plugLeftDepth.actual,station7.plugLeftDepth.pass,station7.plugRightForce.label,station7.plugRightForce.register,station7.plugRightForce.min,station7.plugRightForce.max,station7.plugRightForce.actual,station7.plugRightForce.pass,station7.plugRightDepth.label,station7.plugRightDepth.register,station7.plugRightDepth.min,station7.plugRightDepth.max,station7.plugRightDepth.actual,station7.plugRightDepth.pass,station8.ballLeftForce.label,station8.ballLeftForce.register,station8.ballLeftForce.min,station8.ballLeftForce.max,station8.ballLeftForce.actual,station8.ballLeftForce.pass,station8.ballLeftDepth.label,station8.ballLeftDepth.register,station8.ballLeftDepth.min,station8.ballLeftDepth.max,station8.ballLeftDepth.actual,station8.ballLeftDepth.pass,station8.ballRightForce.label,station8.ballRightForce.register,station8.ballRightForce.min,station8.ballRightForce.max,station8.ballRightForce.actual,station8.ballRightForce.pass,station8.ballRightDepth.label,station8.ballRightDepth.register,station8.ballRightDepth.min,station8.ballRightDepth.max,station8.ballRightDepth.actual,station8.ballRightDepth.pass,station9.dowelLeftForce.label,station9.dowelLeftForce.register,station9.dowelLeftForce.min,station9.dowelLeftForce.max,station9.dowelLeftForce.actual,station9.dowelLeftForce.pass,station9.dowelLeftDepth.label,station9.dowelLeftDepth.register,station9.dowelLeftDepth.min,station9.dowelLeftDepth.max,station9.dowelLeftDepth.actual,station9.dowelLeftDepth.pass,station9.dowelRightForce.label,station9.dowelRightForce.register,station9.dowelRightForce.min,station9.dowelRightForce.max,station9.dowelRightForce.actual,station9.dowelRightForce.pass,station9.dowelRightDepth.label,station9.dowelRightDepth.register,station9.dowelRightDepth.min,station9.dowelRightDepth.max,station9.dowelRightDepth.actual,station9.dowelRightDepth.pass,station10,station11.leftDowelHeight.label,station11.leftDowelHeight.register,station11.leftDowelHeight.min,station11.leftDowelHeight.max,station11.leftDowelHeight.actual,station11.leftDowelHeight.pass,station11.rightDowelHeight.label,station11.rightDowelHeight.register,station11.rightDowelHeight.min,station11.rightDowelHeight.max,station11.rightDowelHeight.actual,station11.rightDowelHeight.pass,station11.dowelLength.label,station11.dowelLength.register,station11.dowelLength.min,station11.dowelLength.max,station11.dowelLength.actual,station11.dowelLength.pass,station11.overallLength.label,station11.overallLength.register,station11.overallLength.min,station11.overallLength.max,station11.overallLength.actual,station11.overallLength.pass,station11.leftOverallDiameter.label,station11.leftOverallDiameter.register,station11.leftOverallDiameter.min,station11.leftOverallDiameter.max,station11.leftOverallDiameter.actual,station11.leftOverallDiameter.pass,station11.rightOverallDiameter.label,station11.rightOverallDiameter.register,station11.rightOverallDiameter.min,station11.rightOverallDiameter.max,station11.rightOverallDiameter.actual,station11.rightOverallDiameter.pass,station11.leftMillingHeight.label,station11.leftMillingHeight.register,station11.leftMillingHeight.min,station11.leftMillingHeight.max,station11.leftMillingHeight.actual,station11.leftMillingHeight.pass,station11.rightMillingHeight.label,station11.rightMillingHeight.register,station11.rightMillingHeight.min,station11.rightMillingHeight.max,station11.rightMillingHeight.actual,station11.rightMillingHeight.pass,station11.plugLeftDepth.label,station11.plugLeftDepth.register,station11.plugLeftDepth.min,station11.plugLeftDepth.max,station11.plugLeftDepth.actual,station11.plugLeftDepth.pass,station11.plugRightDepth.label,station11.plugRightDepth.register,station11.plugRightDepth.min,station11.plugRightDepth.max,station11.plugRightDepth.actual,station11.plugRightDepth.pass,station11.ballLeftDepth.label,station11.ballLeftDepth.register,station11.ballLeftDepth.min,station11.ballLeftDepth.max,station11.ballLeftDepth.actual,station11.ballLeftDepth.pass,station11.ballRightDepth.label,station11.ballRightDepth.register,station11.ballRightDepth.min,station11.ballRightDepth.max,station11.ballRightDepth.actual,station11.ballRightDepth.pass,station11.dowelLeftDepth.label,station11.dowelLeftDepth.register,station11.dowelLeftDepth.min,station11.dowelLeftDepth.max,station11.dowelLeftDepth.actual,station11.dowelLeftDepth.pass,station11.dowelRightDepth.label,station11.dowelRightDepth.register,station11.dowelRightDepth.min,station11.dowelRightDepth.max,station11.dowelRightDepth.actual,station11.dowelRightDepth.pass,station11.qrGrade,station11.completedStatus
P6630862;S252890011;VSFLAD,2026-07-07T06:46:39.729Z,6630865,Shaft-6630865,1,OP-1001,1,1,0,0,,18,42,30,true,OK,OK,D11100-D11105,1.3,2.8,2,true,NG,D11106-D11111,14.255,14.311,13.23,false,OK,D11112-D11117,1.2,2.8,2,true,OK,D11118-D11123,14.285,14.311,14.298,true,OK,D11200-D11205,1.2,2.8,1.594,true,OK,D11206-D11211,6.285,6.31,6.301,true,OK,D11212-D11217,1.2,2.8,1.697,true,OK,D11218-D11223,6.285,6.31,6.298,true,OK,D11300-D11305,1.2,2.8,2.305,true,OK,D11306-D11311,4.967,4.993,4.981,true,OK,D11312-D11317,1.2,2.8,2.581,true,OK,D11318-D11323,4.967,4.993,4.99,true,Reserved,OK,D11500-D11505,4.967,4.993,4.991,true,OK,D11506-D11511,4.967,4.993,4.98,true,OK,D11512-D11517,458.9,459.1,459.045,true,OK,D11518-D11523,465.9,466.1,465.943,true,OK,D11524-D11529,34.975,35.025,34.976,true,OK,D11530-D11535,34.975,35.025,35,true,OK,D11536-D11541,12.175,12.225,12.19,true,OK,D11542-D11547,12.175,12.225,12.205,true,OK,D11548-D11553,14.285,14.311,14.31,true,OK,D11554-D11559,14.285,14.311,14.29,true,OK,D11560-D11565,6.285,6.31,6.29,true,OK,D11566-D11571,6.285,6.31,6.303,true,OK,D11572-D11577,4.967,4.993,4.989,true,OK,D11578-D11583,4.967,4.993,4.973,true,A,4
P6630862;S262890011;VSFLAD,2026-07-07T06:50:41.519Z,6630867,Shaft-6630867,1,OP-1001,1,1,0,0,,18,42,30,true,OK,OK,D11100-D11105,1.3,2.8,2,true,NG,D11106-D11111,14.255,14.311,13.23,false,OK,D11112-D11117,1.2,2.8,2,true,OK,D11118-D11123,14.285,14.311,14.298,true,OK,D11200-D11205,1.2,2.8,1.594,true,OK,D11206-D11211,6.285,6.31,6.301,true,OK,D11212-D11217,1.2,2.8,1.697,true,OK,D11218-D11223,6.285,6.31,6.298,true,OK,D11300-D11305,1.2,2.8,2.305,true,OK,D11306-D11311,4.967,4.993,4.981,true,OK,D11312-D11317,1.2,2.8,2.581,true,OK,D11318-D11323,4.967,4.993,4.99,true,Reserved,OK,D11500-D11505,4.967,4.993,4.991,true,OK,D11506-D11511,4.967,4.993,4.98,true,OK,D11512-D11517,458.9,459.1,459.045,true,OK,D11518-D11523,465.9,466.1,465.943,true,OK,D11524-D11529,34.975,35.025,34.976,true,OK,D11530-D11535,34.975,35.025,35,true,OK,D11536-D11541,12.175,12.225,12.19,true,OK,D11542-D11547,12.175,12.225,12.205,true,OK,D11548-D11553,14.285,14.311,14.31,true,OK,D11554-D11559,14.285,14.311,14.29,true,OK,D11560-D11565,6.285,6.31,6.29,true,OK,D11566-D11571,6.285,6.31,6.303,true,OK,D11572-D11577,4.967,4.993,4.989,true,OK,D11578-D11583,4.967,4.993,4.973,true,A,4
